,Income,Recency,DaysRegistered,AcceptedCmpAll,MntTotal
1,46344.0,38,2719,0,27
2,71613.0,26,2918,0,776
3,26646.0,26,2745,0,53
4,58293.0,94,2767,0,422
5,62513.0,16,2899,0,716
6,55635.0,34,3199,0,590
7,33454.0,32,3023,0,169
8,30351.0,19,2994,0,46
11,7500.0,59,3199,0,61
13,59354.0,53,2832,0,310
14,17323.0,38,3233,0,46
15,82800.0,23,3188,2,1315
16,41850.0,51,3158,0,96
17,37760.0,20,3273,0,317
18,76995.0,91,3064,1,1782
19,33812.0,86,3209,0,133
20,37040.0,41,3296,0,316
22,58607.0,63,3159,1,972
23,65324.0,0,2775,0,544
24,40689.0,69,3074,0,444
25,18589.0,89,3149,0,75
26,53359.0,4,3004,0,257
28,38360.0,26,3000,0,131
30,10979.0,34,2644,0,30
31,38620.0,56,3020,0,318
32,40548.0,31,3233,1,120
33,46610.0,8,3214,0,302
34,68657.0,4,3100,0,1196
35,49389.0,55,2910,0,65
36,67353.0,37,2786,0,913
37,23718.0,76,2906,0,81
38,42429.0,99,2744,0,67
41,20559.0,88,3080,0,53
42,21994.0,4,3158,0,22
44,7500.0,19,2876,0,31
46,7500.0,24,3203,0,122
47,41728.0,92,3007,0,55
50,65486.0,29,2654,0,507
52,35790.0,54,3149,0,72
54,66373.0,57,2988,0,606
56,70287.0,30,3059,0,1093
57,27938.0,31,2668,0,29
59,55954.0,63,2724,0,518
60,75777.0,12,2966,2,1438
61,66653.0,18,3266,0,612
62,61823.0,26,3102,0,884
63,67680.0,8,2989,0,606
64,70666.0,29,2811,0,1076
65,25721.0,75,3010,0,34
66,32474.0,0,2655,0,11
68,69096.0,4,2881,0,653
69,74854.0,90,3053,0,1562
72,65031.0,29,3075,0,863
73,60631.0,88,3056,1,661
74,28332.0,58,2666,0,65
75,40246.0,68,3163,0,13
77,75825.0,40,3231,1,2209
78,26326.0,12,2904,0,18
79,56046.0,9,3149,1,692
80,29760.0,87,3275,0,165
81,26304.0,5,2977,0,16
82,23559.0,87,2967,0,79
83,38620.0,56,3020,0,318
85,29440.0,95,2928,0,56
86,36138.0,48,2954,1,151
87,50388.0,3,2638,2,372
88,79593.0,70,2654,1,1366
89,54178.0,79,2765,0,194
93,42394.0,69,2704,0,32
94,23626.0,84,2642,0,43
95,30096.0,30,2644,0,45
96,47916.0,72,3190,1,606
97,51813.0,37,3050,0,63
99,50150.0,32,2980,0,410
100,47823.0,0,2947,0,72
101,34554.0,43,2697,0,55
103,65846.0,68,3014,0,1120
105,24594.0,94,2807,0,29
106,49096.0,15,2884,0,187
107,52413.0,56,3118,0,910
108,38557.0,17,3163,0,145
110,77298.0,46,2845,0,969
112,57288.0,27,2610,1,608
113,86037.0,95,3149,2,730
114,43974.0,19,3170,0,551
115,50785.0,27,2898,0,114
117,36550.0,74,3101,0,577
118,30753.0,85,2959,0,81
119,21918.0,37,2833,0,33
120,56129.0,65,2980,0,660
121,32557.0,13,2731,0,80
122,19510.0,63,2904,0,30
123,30992.0,83,3039,0,43
124,101970.0,69,3080,3,1135
125,71488.0,87,3102,0,559
127,54348.0,51,2627,0,90
129,77376.0,72,2656,0,661
130,62998.0,10,2878,0,463
131,61331.0,42,3082,0,632
132,73448.0,10,2745,0,725
134,41551.0,51,2925,0,279
135,62981.0,21,3075,1,1482
136,9548.0,31,3296,0,29
137,33762.0,61,2963,0,106
138,35860.0,37,2647,1,49
139,36921.0,74,2942,0,38
141,65104.0,4,2833,0,1053
142,86111.0,73,3042,0,1385
143,68352.0,47,2911,0,871
144,41883.0,13,3073,0,312
145,59809.0,36,3225,0,877
146,23957.0,47,3215,0,68
147,38547.0,49,2911,0,22
148,35688.0,94,3282,0,211
149,49605.0,65,2614,0,127
150,59354.0,59,2672,0,459
151,65747.0,96,2720,1,460
152,46344.0,28,3168,0,429
153,34176.0,12,2654,0,89
154,61010.0,57,3234,0,1021
155,69372.0,10,3101,2,1381
156,49967.0,4,2962,0,306
157,60199.0,49,2896,0,18
158,55375.0,3,2861,0,162
159,80317.0,64,2919,0,1231
160,30523.0,0,2969,0,13
162,23228.0,91,2781,0,121
163,74165.0,9,3030,0,1293
165,43482.0,83,2834,0,88
166,62551.0,27,2829,1,421
167,52332.0,63,2911,1,259
169,26091.0,84,2730,0,89
170,33456.0,58,2675,0,36
171,28718.0,78,2957,0,57
172,50447.0,4,2675,0,148
173,53537.0,17,2756,0,93
174,52074.0,77,2692,1,119
175,80427.0,56,3261,0,1835
177,38853.0,90,2643,0,45
178,38285.0,96,2611,0,10
180,51650.0,81,2655,0,191
181,16248.0,77,2656,0,57
182,66835.0,21,2880,0,1033
183,30477.0,16,2764,0,66
184,28249.0,80,2620,0,43
185,25271.0,45,3177,0,50
186,32303.0,63,2719,0,39
187,61286.0,34,2937,0,608
189,45759.0,13,3097,0,68
190,24882.0,52,3264,1,80
191,66973.0,98,3014,0,1282
192,36640.0,99,2882,0,65
193,38872.0,93,3001,0,91
194,51148.0,38,3102,0,315
195,31353.0,24,2788,0,31
196,69661.0,80,2653,0,834
199,46854.0,81,2696,1,263
200,69142.0,50,2606,1,535
202,63693.0,63,2864,0,1150
204,40637.0,72,2953,0,38
205,18890.0,5,3202,1,35
206,29604.0,88,2809,1,53
207,48721.0,50,3018,0,293
208,44794.0,99,2627,0,65
210,46097.0,11,3061,0,241
211,77972.0,18,2709,0,1101
212,44377.0,70,3238,0,264
215,41443.0,79,2695,0,482
216,52195.0,2,2654,0,17
218,44551.0,24,2908,0,285
219,69508.0,48,3198,0,1135
220,45204.0,93,2685,0,114
221,72460.0,56,2833,0,1047
222,77622.0,3,2682,0,714
223,30732.0,44,3146,0,185
224,63887.0,38,3265,0,1245
225,42011.0,46,3066,0,189
226,51369.0,84,3218,0,576
227,51537.0,27,3173,0,1103
228,79930.0,72,3296,0,1753
229,34320.0,66,2739,0,17
232,38590.0,65,3016,0,22
233,15033.0,37,2680,0,19
234,62745.0,89,3069,0,1117
235,22212.0,49,2808,0,69
236,23661.0,46,2813,0,23
237,79761.0,32,2874,0,605
238,7500.0,54,2791,0,57
239,60182.0,23,2649,0,22
241,64961.0,97,3159,0,1009
242,22804.0,75,2939,0,26
244,61074.0,37,3287,0,1102
245,31686.0,31,2630,0,17
246,80134.0,40,3011,3,1690
247,75027.0,74,3142,0,1390
250,31160.0,59,2892,0,64
251,29938.0,52,2851,0,26
253,26490.0,92,3251,0,210
254,75702.0,77,3275,0,1148
255,30899.0,35,3230,0,33
256,63342.0,48,3227,1,1101
257,45989.0,97,3221,0,322
258,18701.0,95,2996,0,44
259,40737.0,24,2809,0,17
260,15287.0,60,3233,1,31
261,69674.0,46,3009,0,845
262,44159.0,85,2618,0,275
263,37717.0,31,3189,0,25
264,43776.0,9,3117,0,275
265,38179.0,30,3078,0,90
267,38097.0,70,3228,1,184
269,22070.0,11,2874,0,67
270,69267.0,31,3251,0,1635
271,31788.0,15,2707,0,60
272,61905.0,2,2751,0,231
273,29315.0,55,2690,0,48
274,33378.0,38,3114,0,99
275,66313.0,86,2892,0,770
278,69867.0,30,3059,1,925
279,63841.0,64,3040,0,908
280,24480.0,46,3109,0,102
281,51369.0,84,3218,0,576
282,37760.0,20,3273,0,317
283,65640.0,74,2726,0,461
284,44319.0,18,2679,0,37
285,30631.0,75,2958,0,70
286,75278.0,17,3122,0,930
289,35416.0,62,2987,0,390
290,32414.0,11,2966,1,52
291,38361.0,74,2790,0,137
293,16626.0,76,2771,0,68
294,29672.0,6,3080,0,25
295,55951.0,62,3281,2,1374
296,35388.0,20,3085,0,32
297,42386.0,43,3138,0,100
298,68627.0,45,3139,0,825
299,57912.0,34,2710,1,916
300,35246.0,53,2680,0,62
301,58821.0,44,2866,0,728
302,46377.0,89,2726,0,90
303,39747.0,43,2683,0,273
304,23976.0,68,2790,0,66
306,27038.0,64,3255,0,107
307,77457.0,85,2722,1,1157
308,64100.0,93,2898,1,546
309,42670.0,12,3034,0,241
310,12571.0,86,2768,0,53
311,22574.0,28,2850,0,37
313,70893.0,42,3114,0,1508
314,54198.0,13,2800,0,235
315,28839.0,86,2716,0,32
316,40321.0,59,2941,0,102
317,66503.0,30,3290,0,401
318,30833.0,33,2954,0,28
320,64795.0,23,3134,0,680
321,34421.0,81,2969,0,30
322,47025.0,6,2746,0,20
323,64325.0,41,3113,0,1307
324,40464.0,78,3140,0,630
325,62187.0,49,2965,0,1283
326,14849.0,39,2968,0,65
327,27255.0,3,2840,0,37
328,54432.0,37,3022,0,38
329,29999.0,22,3107,0,160
330,24072.0,79,3045,0,23
331,33996.0,46,2897,0,71
332,66334.0,82,3058,0,1161
333,35178.0,10,3141,1,59
334,22010.0,51,2970,0,33
335,62204.0,38,3261,0,946
337,30675.0,14,3200,0,62
338,83003.0,18,3089,1,1674
341,41411.0,11,2810,0,139
342,55212.0,65,3189,2,1182
343,59292.0,71,2987,0,507
344,27190.0,13,2924,1,18
346,44300.0,65,2977,0,42
348,30372.0,33,3157,0,44
349,33181.0,90,2783,1,16
350,71113.0,95,2800,0,835
351,71952.0,93,3141,2,1443
